service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
APR23-APRDA23-Weekday-40,1,1,1,1,1,0,0,20230426,20230630
APR23-APRSA23-Saturday-40,0,0,0,0,0,1,0,20230429,20230624
APR23-APRSU23-Sunday-40,0,0,0,0,0,0,1,20230430,20230625
APR23-CANDAY23-Sunday-84,0,0,0,0,0,0,1,20230701,20230701
APR23-u1600Lo-Sunday-01,0,0,0,0,0,0,1,20230430,20230430
APR23-R1-Saturday-40,0,0,0,0,0,1,0,20230429,20230506
APR23-R1-Sunday-40,0,0,0,0,0,0,1,20230430,20230507
APR23-MThCFD-Weekday-10,1,1,1,1,1,0,0,20230426,20230629
APR23-FRICFD-Weekday-10,1,1,1,1,1,0,0,20230428,20230630
APR23-SATCFD-Saturday-02,0,0,0,0,0,1,0,20230429,20230506
APR23-SUNCFD-Sunday-02,0,0,0,0,0,0,1,20230430,20230507
APR23-SATCFD-Saturday-01,0,0,0,0,0,1,0,20230513,20230701
APR23-SUNCFD-Sunday-01,0,0,0,0,0,0,1,20230514,20230625
APR23-303Shop-Weekday-01,1,1,1,1,1,0,0,20230426,20230628
APR23-304Shop-Weekday-01,1,1,1,1,1,0,0,20230427,20230629
APR23-305Shop-Weekday-01,1,1,1,1,1,0,0,20230428,20230630
APR23-301Shop-Weekday-01,1,1,1,1,1,0,0,20230501,20230626
APR23-302Shop-Weekday-01,1,1,1,1,1,0,0,20230502,20230627
