service_id,date,exception_type
APR23-APRDA23-Weekday-40,20230522,2
APR23-APRSU23-Sunday-40,20230522,1
APR23-CANDAY23-Sunday-84,20230701,1
APR23-MThCFD-Weekday-10,20230428,2
APR23-MThCFD-Weekday-10,20230505,2
APR23-MThCFD-Weekday-10,20230512,2
APR23-MThCFD-Weekday-10,20230519,2
APR23-MThCFD-Weekday-10,20230522,2
APR23-MThCFD-Weekday-10,20230526,2
APR23-MThCFD-Weekday-10,20230602,2
APR23-MThCFD-Weekday-10,20230609,2
APR23-MThCFD-Weekday-10,20230616,2
APR23-MThCFD-Weekday-10,20230623,2
APR23-FRICFD-Weekday-10,20230501,2
APR23-FRICFD-Weekday-10,20230502,2
APR23-FRICFD-Weekday-10,20230503,2
APR23-FRICFD-Weekday-10,20230504,2
APR23-FRICFD-Weekday-10,20230508,2
APR23-FRICFD-Weekday-10,20230509,2
APR23-FRICFD-Weekday-10,20230510,2
APR23-FRICFD-Weekday-10,20230511,2
APR23-FRICFD-Weekday-10,20230515,2
APR23-FRICFD-Weekday-10,20230516,2
APR23-FRICFD-Weekday-10,20230517,2
APR23-FRICFD-Weekday-10,20230518,2
APR23-FRICFD-Weekday-10,20230522,2
APR23-FRICFD-Weekday-10,20230523,2
APR23-FRICFD-Weekday-10,20230524,2
APR23-FRICFD-Weekday-10,20230525,2
APR23-FRICFD-Weekday-10,20230529,2
APR23-FRICFD-Weekday-10,20230530,2
APR23-FRICFD-Weekday-10,20230531,2
APR23-FRICFD-Weekday-10,20230601,2
APR23-FRICFD-Weekday-10,20230605,2
APR23-FRICFD-Weekday-10,20230606,2
APR23-FRICFD-Weekday-10,20230607,2
APR23-FRICFD-Weekday-10,20230608,2
APR23-FRICFD-Weekday-10,20230612,2
APR23-FRICFD-Weekday-10,20230613,2
APR23-FRICFD-Weekday-10,20230614,2
APR23-FRICFD-Weekday-10,20230615,2
APR23-FRICFD-Weekday-10,20230619,2
APR23-FRICFD-Weekday-10,20230620,2
APR23-FRICFD-Weekday-10,20230621,2
APR23-FRICFD-Weekday-10,20230622,2
APR23-FRICFD-Weekday-10,20230626,2
APR23-FRICFD-Weekday-10,20230627,2
APR23-FRICFD-Weekday-10,20230628,2
APR23-FRICFD-Weekday-10,20230629,2
APR23-SUNCFD-Sunday-01,20230522,1
APR23-303Shop-Weekday-01,20230427,2
APR23-303Shop-Weekday-01,20230428,2
APR23-303Shop-Weekday-01,20230501,2
APR23-303Shop-Weekday-01,20230502,2
APR23-303Shop-Weekday-01,20230504,2
APR23-303Shop-Weekday-01,20230505,2
APR23-303Shop-Weekday-01,20230508,2
APR23-303Shop-Weekday-01,20230509,2
APR23-303Shop-Weekday-01,20230511,2
