bus,avg_trip_time,time,heading,day
R1,21.555555555555557,14,Tunney's Pasture,monday
R1,22.428571428571427,15,Tunney's Pasture,monday
R1,22.25,16,Tunney's Pasture,monday
R1,24.9,17,Tunney's Pasture,monday
R1,24.166666666666668,18,Tunney's Pasture,monday
R1,23.3,19,Tunney's Pasture,monday
R1,22.8,20,Tunney's Pasture,monday
R1,20.8,21,Tunney's Pasture,monday
R1,23.666666666666668,22,Tunney's Pasture,monday
R1,18.6,06,Tunney's Pasture,monday
R1,22.142857142857142,07,Tunney's Pasture,monday
R1,18.833333333333332,08,Tunney's Pasture,monday
R1,8.0,09,Tunney's Pasture,monday
R1,6.6,10,Tunney's Pasture,monday
R1,10.0,11,Tunney's Pasture,monday
R1,15.166666666666666,12,Tunney's Pasture,monday
R1,17.0,13,Tunney's Pasture,monday
R1,9.0,05,Tunney's Pasture,monday
R1,20.2,23,Tunney's Pasture,monday
R1,28.0,25,Tunney's Pasture,monday
R1,22.0,24,Tunney's Pasture,monday
R1,28.0,26,Tunney's Pasture,monday
R1,22.333333333333332,20,Blair,monday
R1,21.75,21,Blair,monday
R1,23.5,22,Blair,monday
R1,23.0,23,Blair,monday
R1,20.625,24,Blair,monday
R1,23.25,25,Blair,monday
R1,29.5,26,Blair,monday
R1,10.8,06,Blair,monday
R1,24.5,07,Blair,monday
R1,24.714285714285715,08,Blair,monday
R1,28.5,15,Blair,monday
R1,26.166666666666668,16,Blair,monday
R1,25.0,17,Blair,monday
R1,31.8,09,Blair,monday
R1,19.333333333333332,18,Blair,monday
R1,15.428571428571429,14,Blair,monday
R1,6.0,05,Blair,monday
R1,28.0,10,Blair,monday
R1,28.0,11,Blair,monday
R1,26.666666666666668,12,Blair,monday
R1,25.333333333333332,13,Blair,monday
R1,19.333333333333332,19,Blair,monday
R1,20.0,12,Tunney's Pasture,saturday
R1,22.5,13,Tunney's Pasture,saturday
R1,22.5,14,Tunney's Pasture,saturday
R1,22.5,15,Tunney's Pasture,saturday
R1,30.0,16,Tunney's Pasture,saturday
R1,35.666666666666664,17,Tunney's Pasture,saturday
R1,19.866666666666667,19,Tunney's Pasture,saturday
R1,15.48,20,Tunney's Pasture,saturday
R1,16.041666666666668,21,Tunney's Pasture,saturday
R1,15.48,22,Tunney's Pasture,saturday
R1,16.041666666666668,23,Tunney's Pasture,saturday
R1,15.91304347826087,24,Tunney's Pasture,saturday
R1,22.875,18,Tunney's Pasture,saturday
R1,17.5,06,Tunney's Pasture,saturday
R1,25.75,11,Tunney's Pasture,saturday
R1,34.666666666666664,10,Tunney's Pasture,saturday
R1,37.0,07,Tunney's Pasture,saturday
R1,39.0,08,Tunney's Pasture,saturday
R1,40.5,09,Tunney's Pasture,saturday
R1,12.642857142857142,25,Tunney's Pasture,saturday
R1,15.166666666666666,26,Tunney's Pasture,saturday
R1,15.75,13,Blair,saturday
R1,24.5,14,Blair,saturday
R1,24.5,15,Blair,saturday
R1,24.5,16,Blair,saturday
R1,28.6,17,Blair,saturday
R1,26.75,18,Blair,saturday
R1,16.352941176470587,19,Blair,saturday
R1,16.615384615384617,20,Blair,saturday
R1,14.72,21,Blair,saturday
R1,15.416666666666666,22,Blair,saturday
R1,14.68,23,Blair,saturday
R1,15.416666666666666,24,Blair,saturday
R1,15.0,25,Blair,saturday
R1,10.0,12,Blair,saturday
R1,13.0,26,Blair,saturday
R1,23.555555555555557,13,Tunney's Pasture,sunday
R1,20.0,08,Tunney's Pasture,sunday
R1,28.0,25,Tunney's Pasture,sunday
R1,33.333333333333336,06,Tunney's Pasture,sunday
R1,25.4,07,Tunney's Pasture,sunday
R1,26.4,24,Tunney's Pasture,sunday
R1,19.833333333333332,23,Tunney's Pasture,sunday
R1,24.25,09,Tunney's Pasture,sunday
R1,23.0,11,Tunney's Pasture,sunday
R1,21.25,15,Tunney's Pasture,sunday
R1,16.09090909090909,17,Tunney's Pasture,sunday
R1,24.77777777777778,10,Tunney's Pasture,sunday
R1,24.77777777777778,12,Tunney's Pasture,sunday
R1,23.1,16,Tunney's Pasture,sunday
R1,15.551724137931034,18,Tunney's Pasture,sunday
R1,14.72,19,Tunney's Pasture,sunday
R1,13.363636363636363,20,Tunney's Pasture,sunday
R1,14.047619047619047,21,Tunney's Pasture,sunday
R1,23.7,14,Tunney's Pasture,sunday
R1,14.26086956521739,22,Tunney's Pasture,sunday
R1,42.0,24,Blair,sunday
R1,0.0,04,Blair,sunday
R1,16.88888888888889,08,Blair,sunday
R1,18.666666666666668,09,Blair,sunday
R1,20.285714285714285,10,Blair,sunday
R1,0.0,03,Blair,sunday
R1,29.0,05,Blair,sunday
R1,25.46153846153846,12,Blair,sunday
R1,25.0,13,Blair,sunday
R1,22.545454545454547,14,Blair,sunday
R1,21.8,16,Blair,sunday
R1,17.884615384615383,17,Blair,sunday
R1,19.545454545454547,11,Blair,sunday
R1,23.0,15,Blair,sunday
R1,24.0,07,Blair,sunday
R1,16.482758620689655,18,Blair,sunday
R1,15.695652173913043,19,Blair,sunday
R1,13.75,20,Blair,sunday
R1,15.5,22,Blair,sunday
R1,16.6,23,Blair,sunday
R1,14.941176470588236,21,Blair,sunday
R1,18.5,25,Blair,sunday
R1,34.0,26,Blair,sunday
699,29.0,15,Findlay Creek,monday
699,33.5,16,Findlay Creek,monday
699,32.0,17,Findlay Creek,monday
699,33.0,18,Findlay Creek,monday
699,49.0,08,Pierre-de-Blois,monday
698,24.25,07,St Patrick H.S,monday
698,38.0,08,St Patrick H.S,monday
693,27.0,07,St. Francis Xavier H.S,monday
691,26.0,08,Deslauriers,monday
691,10.5,10,Bayshore,monday
691,24.75,11,Bayshore,monday
691,24.5,12,Bayshore,monday
691,25.0,13,Bayshore,monday
691,17.5,14,Bayshore,monday
691,24.25,15,Bayshore,monday
691,22.25,16,Bayshore,monday
691,25.5,17,Bayshore,monday
691,24.0,18,Bayshore,monday
691,28.5,19,Bayshore,monday
691,31.666666666666668,20,Bayshore,monday
691,26.5,21,Bayshore,monday
691,25.5,22,Bayshore,monday
691,24.5,23,Bayshore,monday
691,24.5,24,Bayshore,monday
691,9.5,10,Bayshore,saturday
691,22.5,11,Bayshore,saturday
691,22.25,12,Bayshore,saturday
691,22.25,13,Bayshore,saturday
691,22.25,14,Bayshore,saturday
691,22.25,15,Bayshore,saturday
691,22.25,16,Bayshore,saturday
691,23.0,17,Bayshore,saturday
691,23.25,18,Bayshore,saturday
691,23.25,19,Bayshore,saturday
691,27.0,20,Bayshore,saturday
691,16.5,21,Bayshore,saturday
691,16.5,22,Bayshore,saturday
691,16.5,23,Bayshore,saturday
691,16.5,24,Bayshore,saturday
691,32.0,25,Bayshore,saturday
691,27.0,09,Bayshore,sunday
691,31.555555555555557,12,Bayshore,sunday
691,36.375,14,Bayshore,sunday
691,26.0,17,Bayshore,sunday
691,27.0,08,Bayshore,sunday
691,30.375,11,Bayshore,sunday
691,31.0,13,Bayshore,sunday
691,30.88888888888889,16,Bayshore,sunday
691,43.0,07,Bayshore,sunday
691,32.22222222222222,15,Bayshore,sunday
691,31.8,18,Bayshore,sunday
691,31.666666666666668,20,Bayshore,sunday
691,33.75,22,Bayshore,sunday
691,33.75,24,Bayshore,sunday
691,30.375,10,Bayshore,sunday
691,25.0,19,Bayshore,sunday
691,31.666666666666668,21,Bayshore,sunday
691,33.75,23,Bayshore,sunday
689,41.0,08,Omer-Deslaurier H.S,monday
689,26.0,19,Billings Bridge,monday
689,25.0,20,Billings Bridge,monday
689,24.75,21,Billings Bridge,monday
689,24.75,22,Billings Bridge,monday
689,24.0,23,Billings Bridge,monday
689,25.5,24,Billings Bridge,monday
689,20.666666666666668,14,Billings Bridge,monday
689,20.0,06,Billings Bridge,monday
689,25.5,07,Billings Bridge,monday
689,24.0,08,Billings Bridge,monday
689,24.5,09,Billings Bridge,monday
689,25.5,10,Billings Bridge,monday
689,25.5,11,Billings Bridge,monday
689,25.5,12,Billings Bridge,monday
689,26.0,13,Billings Bridge,monday
689,24.0,15,Billings Bridge,monday
689,25.0,16,Billings Bridge,monday
689,25.5,17,Billings Bridge,monday
689,27.5,18,Billings Bridge,monday
689,20.0,13,Billings Bridge,saturday
689,22.166666666666668,14,Billings Bridge,saturday
689,22.166666666666668,15,Billings Bridge,saturday
689,22.166666666666668,16,Billings Bridge,saturday
689,22.166666666666668,17,Billings Bridge,saturday
689,27.333333333333332,18,Billings Bridge,saturday
689,25.5,19,Billings Bridge,saturday
689,25.5,20,Billings Bridge,saturday
689,24.5,21,Billings Bridge,saturday
689,24.5,22,Billings Bridge,saturday
689,24.5,23,Billings Bridge,saturday
689,18.5,24,Billings Bridge,saturday
689,14.0,10,Billings Bridge,saturday
689,14.0,11,Billings Bridge,saturday
689,14.0,12,Billings Bridge,saturday
689,24.875,17,Billings Bridge,sunday
689,23.833333333333332,21,Billings Bridge,sunday
689,24.714285714285715,12,Billings Bridge,sunday
689,25.0,16,Billings Bridge,sunday
689,24.4,20,Billings Bridge,sunday
689,24.0,10,Billings Bridge,sunday
689,24.875,14,Billings Bridge,sunday
689,23.625,18,Billings Bridge,sunday
689,23.666666666666668,09,Billings Bridge,sunday
689,23.0,22,Billings Bridge,sunday
689,22.857142857142858,13,Billings Bridge,sunday
689,25.0,11,Billings Bridge,sunday
689,24.875,15,Billings Bridge,sunday
689,23.125,19,Billings Bridge,sunday
689,21.666666666666668,24,Billings Bridge,sunday
689,22.0,25,Billings Bridge,sunday
689,21.5,23,Billings Bridge,sunday
688,35.142857142857146,07,Merivale H.S,monday
688,30.5,15,Terry Fox,monday
688,31.75,17,Terry Fox,monday
688,31.0,16,Terry Fox,monday
688,4.0,04,Terry Fox,monday
688,18.0,05,Terry Fox,monday
688,18.5,06,Terry Fox,monday
688,16.0,07,Terry Fox,monday
688,16.333333333333332,08,Terry Fox,monday
688,17.0,09,Terry Fox,monday
688,17.0,10,Terry Fox,monday
688,17.0,11,Terry Fox,monday
688,15.0,12,Terry Fox,monday
688,14.5,13,Terry Fox,monday
688,28.0,14,Terry Fox,monday
688,36.0,18,Terry Fox,monday
688,26.333333333333332,19,Terry Fox,monday
688,19.0,20,Terry Fox,monday
688,22.5,21,Terry Fox,monday
688,23.0,22,Terry Fox,monday
688,35.0,23,Terry Fox,monday
688,27.5,20,Terry Fox,saturday
688,23.0,06,Terry Fox,saturday
688,24.0,07,Terry Fox,saturday
688,27.0,08,Terry Fox,saturday
688,27.0,09,Terry Fox,saturday
688,26.666666666666668,10,Terry Fox,saturday
688,26.666666666666668,11,Terry Fox,saturday
688,26.666666666666668,12,Terry Fox,saturday
688,26.333333333333332,13,Terry Fox,saturday
688,26.0,14,Terry Fox,saturday
688,25.666666666666668,15,Terry Fox,saturday
688,25.666666666666668,16,Terry Fox,saturday
688,25.666666666666668,17,Terry Fox,saturday
688,25.666666666666668,18,Terry Fox,saturday
688,25.666666666666668,19,Terry Fox,saturday
688,27.0,21,Terry Fox,saturday
688,24.0,22,Terry Fox,saturday
688,34.0,23,Terry Fox,saturday
688,21.8,09,Terry Fox,sunday
688,24.571428571428573,11,Terry Fox,sunday
688,30.285714285714285,13,Terry Fox,sunday
688,26.0,15,Terry Fox,sunday
688,27.857142857142858,17,Terry Fox,sunday
688,28.666666666666668,19,Terry Fox,sunday
688,23.666666666666668,21,Terry Fox,sunday
688,28.833333333333332,12,Terry Fox,sunday
688,33.2,20,Terry Fox,sunday
688,32.5,22,Terry Fox,sunday
688,30.0,16,Terry Fox,sunday
688,26.0,06,Terry Fox,sunday
688,25.75,08,Terry Fox,sunday
688,31.0,14,Terry Fox,sunday
688,29.8,10,Terry Fox,sunday
688,32.5,18,Terry Fox,sunday
688,26.4,23,Terry Fox,sunday
688,24.0,07,Terry Fox,sunday
688,24.666666666666668,24,Terry Fox,sunday
686,8.0,15,Baseline,monday
686,8.5,16,Baseline,monday
686,8.25,17,Baseline,monday
686,7.25,18,Baseline,monday
686,10.0,19,Baseline,monday
686,9.5,20,Baseline,monday
686,9.5,22,Baseline,monday
686,10.0,05,Baseline,monday
686,17.0,06,Baseline,monday
686,16.666666666666668,07,Baseline,monday
686,18.666666666666668,08,Baseline,monday
686,14.0,09,Baseline,monday
686,14.0,10,Baseline,monday
686,14.0,11,Baseline,monday
686,14.0,12,Baseline,monday
686,14.0,13,Baseline,monday
686,10.0,14,Baseline,monday
686,14.0,21,Baseline,monday
686,18.0,20,Baseline,saturday
686,18.0,21,Baseline,saturday
686,18.0,22,Baseline,saturday
686,17.666666666666668,23,Baseline,saturday
686,15.0,09,Baseline,saturday
686,18.0,19,Baseline,saturday
686,16.5,05,Baseline,saturday
686,16.5,06,Baseline,saturday
686,16.5,07,Baseline,saturday
686,16.5,08,Baseline,saturday
686,25.333333333333332,18,Baseline,saturday
686,26.0,14,Baseline,saturday
686,26.0,15,Baseline,saturday
686,26.0,13,Baseline,saturday
686,26.0,16,Baseline,saturday
686,26.0,17,Baseline,saturday
686,22.0,12,Baseline,saturday
686,17.0,10,Baseline,saturday
686,17.0,11,Baseline,saturday
686,23.0,15,Baseline,sunday
686,23.0,17,Baseline,sunday
686,21.4,10,Baseline,sunday
686,9.0,07,Baseline,sunday
686,23.0,09,Baseline,sunday
686,22.25,19,Baseline,sunday
686,24.666666666666668,12,Baseline,sunday
686,24.166666666666668,18,Baseline,sunday
686,22.25,20,Baseline,sunday
686,24.666666666666668,13,Baseline,sunday
686,24.666666666666668,16,Baseline,sunday
686,21.0,23,Baseline,sunday
686,22.666666666666668,08,Baseline,sunday
686,24.666666666666668,11,Baseline,sunday
686,24.666666666666668,14,Baseline,sunday
686,21.428571428571427,21,Baseline,sunday
686,21.0,22,Baseline,sunday
686,29.5,24,Baseline,sunday
681,33.142857142857146,08,Bell H.S,monday
680,35.142857142857146,07,Merivale H.S,monday
680,25.0,15,Riverside South ~ Riverside Sud,monday
680,25.0,16,Riverside South ~ Riverside Sud,monday
680,26.666666666666668,17,Riverside South ~ Riverside Sud,monday
680,34.0,18,Riverside South ~ Riverside Sud,monday
680,7.0,14,Riverside South ~ Riverside Sud,monday
678,16.6,08,Louis Riel,monday
678,6.0,07,Louis Riel,monday
676,17.0,08,Mother Teresa H.S.,monday
676,14.333333333333334,06,Riverview,monday
676,13.0,07,Riverview,monday
676,15.0,16,Riverview,monday
676,13.0,17,Riverview,monday
675,13.0,07,Bell H.S / Franco-Ouest,monday
674,25.0,07,All Saints,monday
672,28.0,08,John McCrae H.S,monday
672,5.0,06,Golflinks,monday
672,6.0,07,Golflinks,monday
672,6.0,08,Golflinks,monday
672,6.0,11,Golflinks,monday
672,6.0,13,Golflinks,monday
672,6.0,16,Golflinks,monday
672,6.0,17,Golflinks,monday
672,6.0,18,Golflinks,monday
672,6.0,20,Golflinks,monday
672,7.0,22,Golflinks,monday
