route_id,n,longest_trip,trip_time,heading,distance(km)
301,85,89454689-APR23-301Shop-Weekday-01,64.0,Bayshore / Carlingwood,40.592990331357235
301,81,89454693-APR23-301Shop-Weekday-01,62.0,Richmond / Stittsville,39.605564247872685
302,66,89424001-APR23-302Shop-Weekday-01,67.0,St Laurent / Place DOrléans,43.884775019449165
302,70,89424005-APR23-302Shop-Weekday-01,61.0,Cumberland,44.60138321258284
303,85,89454689-APR23-301Shop-Weekday-01,64.0,Bayshore / Carlingwood,40.592990331357235
303,55,89454698-APR23-303Shop-Weekday-01,74.0,Dunrobin / Carp / Stittsville,45.65867261636509
304,36,89454704-APR23-304Shop-Weekday-01,73.0,Billings Bridge / South Keys,56.6441837025749
304,34,89454708-APR23-304Shop-Weekday-01,74.0,Osgoode / Greely / Metcalfe,56.21832432745521
305,59,89454711-APR23-305Shop-Weekday-01,74.0,Carlingwood,38.26205896963319
305,61,89454715-APR23-305Shop-Weekday-01,66.0,North Gower / Manotick,37.66483711380035
688,97,89745239-APR23-APRDA23-Weekday-40,87.0,Terry Fox,28.945931006257364
688,64,89745067-APR23-APRDA23-Weekday-40,50.0,Merivale H.S,20.27918566356021
680,36,89745070-APR23-APRDA23-Weekday-40,32.0,Riverside South ~ Riverside Sud,12.23408026979712
680,64,89745067-APR23-APRDA23-Weekday-40,50.0,Merivale H.S,20.27918566356021
88,94,89745241-APR23-APRDA23-Weekday-40,80.0,Hurdman,28.677782017290138
88,97,89745239-APR23-APRDA23-Weekday-40,87.0,Terry Fox,28.945931006257364
57,75,89752956-APR23-APRDA23-Weekday-40,79.0,Tunneys Pasture,37.27689087031931
57,61,89329030-APR23-CANDAY23-Sunday-84,57.0,Crystal Bay,23.22204581878845
131,80,89745593-APR23-APRDA23-Weekday-40,45.0,Fallingbrook,19.023308021991024
131,76,89745554-APR23-APRDA23-Weekday-40,43.0,Chapel Hill,18.922948589230206
86,75,89752956-APR23-APRDA23-Weekday-40,79.0,Tunneys Pasture,37.27689087031931
86,54,89749349-APR23-APRDA23-Weekday-40,36.0,Baseline,14.228404374658066
198,61,89750776-APR23-APRDA23-Weekday-40,52.0,Greenboro,15.224679853370924
198,28,89745858-APR23-APRDA23-Weekday-40,26.0,Riverview,12.881305133633441
87,75,89752956-APR23-APRDA23-Weekday-40,79.0,Tunneys Pasture,37.27689087031931
87,54,89749349-APR23-APRDA23-Weekday-40,36.0,Baseline,14.228404374658066
671,40,89746034-APR23-APRDA23-Weekday-40,32.0,Half Moon Bay,11.435317107484192
671,43,89746039-APR23-APRDA23-Weekday-40,33.0,John McCrae H.S,12.375983752058717
67,34,89746074-APR23-APRDA23-Weekday-40,44.0,Cope,26.393549379106485
67,31,89746054-APR23-APRDA23-Weekday-40,49.0,Terry Fox & Tunneys Pasture,26.593295914298803
18,71,89751022-APR23-APRDA23-Weekday-40,56.0,St-Laurent,15.475239595517742
