route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-343,1,,,0,,DA291C,FFFFFF
2-344,2,,,3,,65A233,FFFFFF
5-344,5,,,3,,6E6E70,FFFFFF
6-344,6,,,3,,D74100,FFFFFF
7-344,7,,,3,,D74100,FFFFFF
9-344,9,,,3,,6E6E70,FFFFFF
10-344,10,,,3,,D74100,FFFFFF
11-344,11,,,3,,D74100,FFFFFF
12-344,12,,,3,,D74100,FFFFFF
14-344,14,,,3,,D74100,FFFFFF
15-344,15,,,3,,E6E6E6,58595B
16-344,16,,,3,,6E6E70,FFFFFF
18-344,18,,,3,,6E6E70,FFFFFF
19-344,19,,,3,,6E6E70,FFFFFF
20-344,20,,,3,,6E6E70,FFFFFF
21-344,21,,,3,,E6E6E6,58595B
23-344,23,,,3,,E6E6E6,58595B
24-344,24,,,3,,6E6E70,FFFFFF
25-344,25,,,3,,D74100,FFFFFF
26-344,26,,,3,,6E6E70,FFFFFF
27-344,27,,,3,,E6E6E6,58595B
28-344,28,,,3,,6E6E70,FFFFFF
30-344,30,,,3,,6E6E70,FFFFFF
31-344,31,,,3,,E6E6E6,58595B
32-344,32,,,3,,E6E6E6,58595B
33-344,33,,,3,,E6E6E6,58595B
34-344,34,,,3,,6E6E70,FFFFFF
35-344,35,,,3,,6E6E70,FFFFFF
37-344,37,,,3,,E6E6E6,58595B
38-344,38,,,3,,6E6E70,FFFFFF
39-344,39,,,3,,0056B8,FFFFFF
40-344,40,,,3,,D74100,FFFFFF
42-344,42,,,3,,6E6E70,FFFFFF
44-344,44,,,3,,D74100,FFFFFF
45-344,45,,,3,,0056B8,FFFFFF
46-344,46,,,3,,6E6E70,FFFFFF
47-344,47,,,3,,E6E6E6,58595B
48-344,48,,,3,,6E6E70,FFFFFF
49-344,49,,,3,,6E6E70,FFFFFF
50-344,50,,,3,,6E6E70,FFFFFF
51-344,51,,,3,,D74100,FFFFFF
53-344,53,,,3,,D74100,FFFFFF
54-344,54,,,3,,6E6E70,FFFFFF
55-344,55,,,3,,6E6E70,FFFFFF
56-344,56,,,3,,E6E6E6,58595B
57-344,57,,,3,,0056B8,FFFFFF
58-344,58,,,3,,6E6E70,FFFFFF
61-344,61,,,3,,0056B8,FFFFFF
62-344,62,,,3,,0056B8,FFFFFF
63-344,63,,,3,,0056B8,FFFFFF
64-344,64,,,3,,6E6E70,FFFFFF
66-344,66,,,3,,E6E6E6,58595B
67-344,67,,,3,,E6E6E6,58595B
73-344,73,,,3,,E6E6E6,58595B
74-344,74,,,3,,0056B8,FFFFFF
75-344,75,,,3,,0056B8,FFFFFF
80-344,80,,,3,,D74100,FFFFFF
81-344,81,,,3,,6E6E70,FFFFFF
82-344,82,,,3,,6E6E70,FFFFFF
83-344,83,,,3,,6E6E70,FFFFFF
84-344,84,,,3,,6E6E70,FFFFFF
85-344,85,,,3,,D74100,FFFFFF
86-344,86,,,3,,6E6E70,FFFFFF
87-344,87,,,3,,D74100,FFFFFF
88-344,88,,,3,,D74100,FFFFFF
89-344,89,,,3,,6E6E70,FFFFFF
90-344,90,,,3,,D74100,FFFFFF
92-344,92,,,3,,6E6E70,FFFFFF
93-344,93,,,3,,6E6E70,FFFFFF
96-344,96,,,3,,6E6E70,FFFFFF
97-344,97,,,3,,0056B8,FFFFFF
98-344,98,,,3,,0056B8,FFFFFF
99-344,99,,,3,,0056B8,FFFFFF
110-344,110,,,3,,E6E6E6,58595B
111-344,111,,,3,,D74100,FFFFFF
114-344,114,,,3,,E6E6E6,58595B
131-344,131,,,3,,6E6E70,FFFFFF
138-344,138,,,3,,6E6E70,FFFFFF
139-344,139,,,3,,E6E6E6,58595B
140-344,140,,,3,,E6E6E6,58595B
141-344,141,,,3,,E6E6E6,58595B
153-344,153,,,3,,E6E6E6,58595B
154-344,154,,,3,,E6E6E6,58595B
155-344,155,,,3,,E6E6E6,58595B
158-344,158,,,3,,E6E6E6,58595B
161-344,161,,,3,,E6E6E6,58595B
162-344,162,,,3,,E6E6E6,58595B
164-344,164,,,3,,E6E6E6,58595B
165-344,165,,,3,,E6E6E6,58595B
166-344,166,,,3,,E6E6E6,58595B
168-344,168,,,3,,6E6E70,FFFFFF
170-344,170,,,3,,6E6E70,FFFFFF
171-344,171,,,3,,6E6E70,FFFFFF
173-344,173,,,3,,E6E6E6,58595B
175-344,175,,,3,,6E6E70,FFFFFF
176-344,176,,,3,,E6E6E6,58595B
185-344,185,,,3,,E6E6E6,58595B
186-344,186,,,3,,E6E6E6,58595B
187-344,187,,,3,,E6E6E6,58595B
190-344,190,,,3,,E6E6E6,58595B
197-344,197,,,3,,6E6E70,FFFFFF
198-344,198,,,3,,E6E6E6,58595B
199-344,199,,,3,,E6E6E6,58595B
221-344,221,,,3,,A85B8C,FFFFFF
222-344,222,,,3,,A85B8C,FFFFFF
228-344,228,,,3,,A85B8C,FFFFFF
231-344,231,,,3,,A85B8C,FFFFFF
232-344,232,,,3,,A85B8C,FFFFFF
234-344,234,,,3,,A85B8C,FFFFFF
236-344,236,,,3,,A85B8C,FFFFFF
237-344,237,,,3,,A85B8C,FFFFFF
252-344,252,,,3,,A85B8C,FFFFFF
256-344,256,,,3,,A85B8C,FFFFFF
257-344,257,,,3,,A85B8C,FFFFFF
258-344,258,,,3,,A85B8C,FFFFFF
261-344,261,,,3,,A85B8C,FFFFFF
262-344,262,,,3,,A85B8C,FFFFFF
263-344,263,,,3,,A85B8C,FFFFFF
264-344,264,,,3,,A85B8C,FFFFFF
265-344,265,,,3,,A85B8C,FFFFFF
267-344,267,,,3,,A85B8C,FFFFFF
268-344,268,,,3,,A85B8C,FFFFFF
270-344,270,,,3,,A85B8C,FFFFFF
271-344,271,,,3,,A85B8C,FFFFFF
272-344,272,,,3,,A85B8C,FFFFFF
273-344,273,,,3,,A85B8C,FFFFFF
277-344,277,,,3,,A85B8C,FFFFFF
278-344,278,,,3,,A85B8C,FFFFFF
282-344,282,,,3,,A85B8C,FFFFFF
283-344,283,,,3,,A85B8C,FFFFFF
290-344,290,,,3,,A85B8C,FFFFFF
291-344,291,,,3,,A85B8C,FFFFFF
294-344,294,,,3,,A85B8C,FFFFFF
299-344,299,,,3,,A85B8C,FFFFFF
301-344,301,,,3,,E6E6E6,58595B
302-344,302,,,3,,E6E6E6,58595B
303-344,303,,,3,,E6E6E6,58595B
304-344,304,,,3,,E6E6E6,58595B
305-344,305,,,3,,E6E6E6,58595B
404-344,404,,,3,,E6E6E6,58595B
602-344,602,,,3,,E6E6E6,58595B
609-344,609,,,3,,E6E6E6,58595B
611-344,611,,,3,,E6E6E6,58595B
612-344,612,,,3,,E6E6E6,58595B
613-344,613,,,3,,E6E6E6,58595B
615-344,615,,,3,,E6E6E6,58595B
616-344,616,,,3,,E6E6E6,58595B
618-344,618,,,3,,E6E6E6,58595B
619-344,619,,,3,,E6E6E6,58595B
620-344,620,,,3,,E6E6E6,58595B
622-344,622,,,3,,E6E6E6,58595B
624-344,624,,,3,,E6E6E6,58595B
628-344,628,,,3,,E6E6E6,58595B
630-344,630,,,3,,E6E6E6,58595B
631-344,631,,,3,,E6E6E6,58595B
632-344,632,,,3,,E6E6E6,58595B
633-344,633,,,3,,E6E6E6,58595B
634-344,634,,,3,,E6E6E6,58595B
635-344,635,,,3,,E6E6E6,58595B
636-344,636,,,3,,E6E6E6,58595B
638-344,638,,,3,,E6E6E6,58595B
639-344,639,,,3,,E6E6E6,58595B
640-344,640,,,3,,E6E6E6,58595B
641-344,641,,,3,,E6E6E6,58595B
644-344,644,,,3,,E6E6E6,58595B
645-344,645,,,3,,E6E6E6,58595B
648-344,648,,,3,,E6E6E6,58595B
649-344,649,,,3,,E6E6E6,58595B
658-344,658,,,3,,E6E6E6,58595B
660-344,660,,,3,,E6E6E6,58595B
661-344,661,,,3,,E6E6E6,58595B
664-344,664,,,3,,E6E6E6,58595B
665-344,665,,,3,,E6E6E6,58595B
