route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
301-344,APR23-301Shop-Weekday-01,89454689-APR23-301Shop-Weekday-01,"Bayshore / Carlingwood",0,10938838,3010060
301-344,APR23-301Shop-Weekday-01,89454693-APR23-301Shop-Weekday-01,"Richmond / Stittsville",1,10938838,3010059
302-344,APR23-302Shop-Weekday-01,89424001-APR23-302Shop-Weekday-01,"St Laurent / Place D'Orléans",0,10935783,3020035
302-344,APR23-302Shop-Weekday-01,89424005-APR23-302Shop-Weekday-01,"Cumberland",1,10935783,3020034
303-344,APR23-303Shop-Weekday-01,89454697-APR23-303Shop-Weekday-01,"Bayshore / Carlingwood",0,10938839,3030054
303-344,APR23-303Shop-Weekday-01,89454698-APR23-303Shop-Weekday-01,"Dunrobin / Carp / Stittsville",1,10938839,3030055
304-344,APR23-304Shop-Weekday-01,89454704-APR23-304Shop-Weekday-01,"Billings Bridge / South Keys",0,10938840,3040021
304-344,APR23-304Shop-Weekday-01,89454708-APR23-304Shop-Weekday-01,"Osgoode / Greely / Metcalfe",1,10938840,3040022
305-344,APR23-305Shop-Weekday-01,89454711-APR23-305Shop-Weekday-01,"Carlingwood",0,10938841,3050042
305-344,APR23-305Shop-Weekday-01,89454715-APR23-305Shop-Weekday-01,"North Gower / Manotick",1,10938841,3050043
688-344,APR23-APRDA23-Weekday-40,89745065-APR23-APRDA23-Weekday-40,"Terry Fox",1,10970665,6880021
688-344,APR23-APRDA23-Weekday-40,89745066-APR23-APRDA23-Weekday-40,"Terry Fox",1,10970651,6880021
688-344,APR23-APRDA23-Weekday-40,89745067-APR23-APRDA23-Weekday-40,"Merivale H.S",0,10971082,6880011
688-344,APR23-APRDA23-Weekday-40,89745068-APR23-APRDA23-Weekday-40,"Merivale H.S",0,10970699,6880011
688-344,APR23-APRDA23-Weekday-40,89745069-APR23-APRDA23-Weekday-40,"Terry Fox",1,10970682,6880021
680-344,APR23-APRDA23-Weekday-40,89745070-APR23-APRDA23-Weekday-40,"Riverside South ~ Riverside Sud",1,10970745,6800031
680-344,APR23-APRDA23-Weekday-40,89745071-APR23-APRDA23-Weekday-40,"Riverside South ~ Riverside Sud",1,10970674,6800031
680-344,APR23-APRDA23-Weekday-40,89745072-APR23-APRDA23-Weekday-40,"Riverside South ~ Riverside Sud",1,10970669,6800031
680-344,APR23-APRDA23-Weekday-40,89745073-APR23-APRDA23-Weekday-40,"Merivale H.S",0,10970820,6800013
680-344,APR23-APRDA23-Weekday-40,89745074-APR23-APRDA23-Weekday-40,"Merivale H.S",0,10971078,6800013
680-344,APR23-APRDA23-Weekday-40,89745075-APR23-APRDA23-Weekday-40,"Merivale H.S",0,10970824,6800013
680-344,APR23-APRDA23-Weekday-40,89745076-APR23-APRDA23-Weekday-40,"Merivale H.S",0,10970718,6800013
680-344,APR23-APRDA23-Weekday-40,89745077-APR23-APRDA23-Weekday-40,"Merivale H.S",0,10971303,6800013
88-344,APR23-APRDA23-Weekday-40,89745078-APR23-APRDA23-Weekday-40,"Hurdman",0,10971225,881095
88-344,APR23-APRDA23-Weekday-40,89745079-APR23-APRDA23-Weekday-40,"Hurdman",0,10971232,881095
88-344,APR23-APRDA23-Weekday-40,89745080-APR23-APRDA23-Weekday-40,"Hurdman",0,10971324,881087
88-344,APR23-APRDA23-Weekday-40,89745081-APR23-APRDA23-Weekday-40,"Hurdman",0,10971031,881087
88-344,APR23-APRDA23-Weekday-40,89745082-APR23-APRDA23-Weekday-40,"Hurdman",0,10970784,881087
88-344,APR23-APRDA23-Weekday-40,89745083-APR23-APRDA23-Weekday-40,"Hurdman",0,10970776,881088
88-344,APR23-APRDA23-Weekday-40,89745084-APR23-APRDA23-Weekday-40,"Hurdman",0,10970794,881088
88-344,APR23-APRDA23-Weekday-40,89745085-APR23-APRDA23-Weekday-40,"Hurdman",0,10970639,881088
88-344,APR23-APRDA23-Weekday-40,89745086-APR23-APRDA23-Weekday-40,"Hurdman",0,10970742,881088
88-344,APR23-APRDA23-Weekday-40,89745087-APR23-APRDA23-Weekday-40,"Hurdman",0,10971031,881088
88-344,APR23-APRDA23-Weekday-40,89745088-APR23-APRDA23-Weekday-40,"Hurdman",0,10970969,881088
88-344,APR23-APRDA23-Weekday-40,89745089-APR23-APRDA23-Weekday-40,"Hurdman",0,10970770,881088
88-344,APR23-APRDA23-Weekday-40,89745090-APR23-APRDA23-Weekday-40,"Hurdman",0,10970723,881088
88-344,APR23-APRDA23-Weekday-40,89745091-APR23-APRDA23-Weekday-40,"Hurdman",0,10970818,881088
88-344,APR23-APRDA23-Weekday-40,89745092-APR23-APRDA23-Weekday-40,"Hurdman",0,10970827,881088
88-344,APR23-APRDA23-Weekday-40,89745093-APR23-APRDA23-Weekday-40,"Hurdman",0,10970743,881088
88-344,APR23-APRDA23-Weekday-40,89745094-APR23-APRDA23-Weekday-40,"Hurdman",0,10970736,881088
88-344,APR23-APRDA23-Weekday-40,89745095-APR23-APRDA23-Weekday-40,"Hurdman",0,10970589,881088
88-344,APR23-APRDA23-Weekday-40,89745096-APR23-APRDA23-Weekday-40,"Hurdman",0,10971071,881088
88-344,APR23-APRDA23-Weekday-40,89745097-APR23-APRDA23-Weekday-40,"Hurdman",0,10970742,881088
88-344,APR23-APRDA23-Weekday-40,89745098-APR23-APRDA23-Weekday-40,"Hurdman",0,10970819,881088
88-344,APR23-APRDA23-Weekday-40,89745099-APR23-APRDA23-Weekday-40,"Hurdman",0,10970725,881088
88-344,APR23-APRDA23-Weekday-40,89745100-APR23-APRDA23-Weekday-40,"Hurdman",0,10970770,881088
88-344,APR23-APRDA23-Weekday-40,89745101-APR23-APRDA23-Weekday-40,"Hurdman",0,10970723,881088
88-344,APR23-APRDA23-Weekday-40,89745102-APR23-APRDA23-Weekday-40,"Hurdman",0,10971045,881088
88-344,APR23-APRDA23-Weekday-40,89745103-APR23-APRDA23-Weekday-40,"Hurdman",0,10970827,881088
88-344,APR23-APRDA23-Weekday-40,89745104-APR23-APRDA23-Weekday-40,"Hurdman",0,10970743,881088
88-344,APR23-APRDA23-Weekday-40,89745105-APR23-APRDA23-Weekday-40,"Hurdman",0,10970736,881088
88-344,APR23-APRDA23-Weekday-40,89745106-APR23-APRDA23-Weekday-40,"Hurdman",0,10970589,881088
88-344,APR23-APRDA23-Weekday-40,89745107-APR23-APRDA23-Weekday-40,"Hurdman",0,10971071,881088
88-344,APR23-APRDA23-Weekday-40,89745108-APR23-APRDA23-Weekday-40,"Hurdman",0,10970742,881088
88-344,APR23-APRDA23-Weekday-40,89745109-APR23-APRDA23-Weekday-40,"Hurdman",0,10970819,881088
88-344,APR23-APRDA23-Weekday-40,89745110-APR23-APRDA23-Weekday-40,"Hurdman",0,10970725,881088
88-344,APR23-APRDA23-Weekday-40,89745111-APR23-APRDA23-Weekday-40,"Hurdman",0,10970861,881088
88-344,APR23-APRDA23-Weekday-40,89745112-APR23-APRDA23-Weekday-40,"Hurdman",0,10970723,881088
88-344,APR23-APRDA23-Weekday-40,89745113-APR23-APRDA23-Weekday-40,"Hurdman",0,10970864,881088
88-344,APR23-APRDA23-Weekday-40,89745114-APR23-APRDA23-Weekday-40,"Hurdman",0,10970651,881088
88-344,APR23-APRDA23-Weekday-40,89745115-APR23-APRDA23-Weekday-40,"Hurdman",0,10970736,881088
88-344,APR23-APRDA23-Weekday-40,89745116-APR23-APRDA23-Weekday-40,"Hurdman",0,10970589,881088
88-344,APR23-APRDA23-Weekday-40,89745117-APR23-APRDA23-Weekday-40,"Hurdman",0,10970818,881088
